time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput
2019-07-26-21-03,100,20,1,0
2019-07-26-21-04,115,23,1,0
2019-07-26-21-05,61,12,1,0
2019-07-26-21-06,64,13,1,0
2019-07-26-21-07,58,12,1,0
2019-07-26-21-08,137,27,1,0
2019-07-26-21-09,137,27,1,0
2019-07-26-21-10,118,24,1,0
2019-07-26-21-11,97,19,1,0
2019-07-26-21-12,78,16,1,0
2019-07-26-21-13,103,21,1,0
2019-07-26-21-14,120,24,1,0
2019-07-26-21-15,55,11,1,0
2019-07-26-21-16,87,17,1,0
2019-07-26-21-17,112,22,1,0
2019-07-26-21-18,115,23,1,0
2019-07-26-21-19,100,20,1,0
2019-07-26-22-10,94,19,1,0
2019-07-26-22-10,143,29,1,0
2019-07-26-22-11,121,24,1,0
2019-07-26-22-11,95,19,1,0
2019-07-26-22-11,56,11,1,0
2019-07-26-22-12,132,26,1,0
2019-07-26-22-12,128,26,1,0
2019-07-26-22-12,137,27,1,0
2019-07-26-22-13,120,24,1,0
2019-07-26-22-13,57,11,1,0
2019-07-26-22-13,65,13,1,0
2019-07-26-22-13,90,18,1,0
2019-07-26-22-15,100,20,1,0
2019-07-26-22-15,120,24,1,0
2019-07-26-22-15,99,20,1,0
2019-07-26-22-15,125,25,1,0
2019-07-26-22-16,135,27,1,0
2019-07-26-22-17,58,12,1,0
2019-07-26-22-18,106,21,1,0
2019-07-26-22-20,71,14,1,0
2019-07-26-22-21,119,24,1,0
2019-07-26-22-22,146,29,1,0
2019-07-26-22-23,143,29,1,0
2019-07-26-22-25,75,15,1,0
2019-07-27-18-23,96,19,1,0
2019-07-27-18-28,125,25,1,0
2019-07-27-18-28,142,28,1,0
2019-07-27-18-29,78,16,1,0
2019-07-27-23-22,81,16,1,0
2019-07-27-23-23,52,10,1,0
2019-07-27-23-24,110,22,1,0
2019-07-27-23-25,82,16,1,0
2019-07-27-23-26,138,28,1,0
2019-07-29-22-29,77,15,1,0
2019-07-29-22-30,61,12,1,0
2019-07-29-22-31,123,25,1,0
2019-07-29-22-32,61,12,1,0
2019-07-29-22-33,55,11,1,0
2019-07-29-22-34,101,20,1,0
2019-07-29-22-35,147,29,1,0
2019-07-29-22-36,56,11,1,0
2019-07-29-22-37,88,18,1,0
2019-07-29-22-38,54,11,1,0
2019-07-29-22-39,93,19,1,0
2019-07-29-22-40,139,28,1,0
2019-07-29-22-41,120,24,1,0
2019-07-29-22-42,125,25,1,0
2019-07-29-22-43,100,20,1,0
2019-07-29-22-44,61,12,1,0
2019-07-29-22-45,81,16,1,0
2019-07-29-22-46,92,18,1,0
2019-07-29-22-47,63,13,1,0
2019-07-29-22-48,126,25,1,0
2019-07-29-22-50,86,17,1,0
2019-07-29-22-51,119,24,1,0
2019-07-29-22-52,109,22,1,0
2019-07-29-22-53,141,28,1,0
2019-07-29-22-54,141,28,1,0
2019-07-29-22-55,141,28,1,0
2019-07-29-22-56,144,29,1,0
2019-07-29-22-57,107,21,1,0
2019-07-29-22-58,95,19,1,0
2019-07-29-22-59,63,13,1,0
2019-07-29-23-00,97,19,1,0
2019-07-29-23-01,129,26,1,0
2019-07-29-23-17,145,29,1,0
2019-07-29-23-18,96,19,1,0
2019-07-29-23-19,110,22,1,0
2019-07-29-23-20,72,14,1,0
2019-07-29-23-21,135,27,1,0
2019-07-29-23-22,135,27,1,0
2019-07-29-23-23,126,25,1,0
2019-07-29-23-24,135,27,1,0
2019-07-29-23-25,117,23,1,0
2019-07-29-23-26,87,17,1,0
2019-07-29-23-27,126,25,1,0
