time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,aveEDA,d005_EDA,frequence
2019-08-30-16-59,0.0,0.0,1.0,0.0,82.0,16.0,0.293100803,5.0,0.15
2019-08-30-17-00,0.0,0.0,1.0,0.0,80.0,16.0,0.22665444699999998,4.0,0.15
2019-08-30-17-01,0.0,0.0,1.0,0.0,84.0,16.0,0.180790709,3.0,0.15
2019-08-30-17-08,14.5106383,2.0,1.2760638229999999,0.0,79.0,15.0,0.14086416599999999,2.0,0.05
2019-08-30-17-09,14.87931034,2.0,1.293310352,0.0,85.0,17.0,0.121867289,2.0,0.05
2019-08-30-17-12,8.982758621,1.0,1.1954655220000001,0.0,93.0,18.0,0.10872217599999999,2.0,0.05
2019-08-30-17-13,75.74137931,15.0,2.0540689640000003,0.0,88.0,17.0,0.09852430300000001,1.0,0.05
2019-08-30-17-14,15.05172414,3.0,1.318189654,0.0,89.0,17.0,0.08905256,1.0,0.05
2019-08-30-17-15,50.32758621,10.0,1.878293107,0.0,83.0,16.0,0.086313549,1.0,0.05
2019-08-30-17-16,54.86206897,10.0,2.100017243,0.0,90.0,18.0,0.08417787,1.0,0.15
2019-08-30-17-20,51.43103448,10.0,1.9792413830000002,0.0,90.0,18.0,0.35900274,7.0,0.15
2019-08-30-17-25,50.08620689999999,10.0,2.1820862009999997,0.0,91.0,18.0,1.234602115,24.0,0.15
2019-08-30-17-18,50.32758621,10.0,2.0320517319999998,0.0,86.0,17.0,0.098550999,1.0,0.05
2019-08-30-17-19,58.0862069,11.0,2.095965519,0.0,85.0,17.0,0.168035358,3.0,0.05
2019-08-30-17-21,26.12068966,5.0,1.572793099,0.0,91.0,18.0,0.9431838840000001,18.0,0.05
2019-08-30-17-24,55.37931034,11.0,2.178275861,0.0,73.0,14.0,1.3504431680000002,27.0,0.05
2019-08-30-17-33,68.90909091,13.0,1.738454537,0.0,104.0,20.0,2.310439429,46.0,0.05
2019-08-30-17-38,0.0,0.0,1.0,0.0,112.0,22.0,2.797993322,55.0,0.05
2019-08-30-17-39,14.45454545,2.0,1.4282727240000002,0.0,112.0,22.0,2.951437135,59.0,0.05
2019-08-30-17-46,0.0,0.0,1.0,0.0,96.0,19.0,3.207587775,64.0,0.05
